Date,Price,Open,High,Low,Vol.,Change %
"Mar 12, 2009",1426.1,1367.78,1427.55,1355.05,826.96M,3.97%
"Mar 11, 2009",1371.64,1364.8,1385.29,1352.6,742.71M,0.98%
"Mar 10, 2009",1358.28,1288.95,1358.28,1288.95,847.81M,7.07%
"Mar 09, 2009",1268.64,1284.84,1316.15,1265.52,700.22M,-1.95%
"Mar 06, 2009",1293.85,1310.59,1320.51,1268.54,876.18M,-0.44%
"Mar 05, 2009",1299.59,1332.38,1342.86,1298.33,823.34M,-4.00%
"Mar 04, 2009",1353.74,1340.38,1370.29,1333.88,835.26M,2.48%
"Mar 03, 2009",1321.01,1341.42,1346.88,1312.98,939.20M,-0.14%
"Mar 02, 2009",1322.85,1356.13,1372,1322.13,833.16M,-3.99%
"Feb 27, 2009",1377.84,1376.56,1401.97,1372.42,967.62M,-0.98%
"Feb 26, 2009",1391.47,1436.85,1444.83,1391.47,820.32M,-2.38%
"Feb 25, 2009",1425.43,1428.76,1453.66,1404.54,853.99M,-1.14%
"Feb 24, 2009",1441.83,1399.37,1445.07,1395.11,879.57M,3.90%
"Feb 23, 2009",1387.72,1452.58,1452.58,1386.68,735.18M,-3.71%
"Feb 20, 2009",1441.23,1427.03,1454.39,1416.96,960.29M,-0.11%
"Feb 19, 2009",1442.82,1478.55,1485.14,1442.53,724.51M,-1.71%
"Feb 18, 2009",1467.97,1480.65,1487.92,1454.46,745.32M,-0.18%
"Feb 17, 2009",1470.66,1489.12,1492.82,1467.79,903.97M,-4.15%
"Feb 13, 2009",1534.36,1539.72,1552.57,1530.05,704.95M,-0.48%
"Feb 12, 2009",1541.71,1510.17,1542.51,1495.34,886.95M,0.73%
"Feb 11, 2009",1530.5,1531.58,1542.84,1509.35,813.70M,0.38%
"Feb 10, 2009",1524.73,1578.02,1598.5,1520.56,910.35M,-4.20%
"Feb 09, 2009",1591.56,1590.74,1598.23,1576.1,662.39M,-0.01%
"Feb 06, 2009",1591.71,1547,1594.26,1545.85,847.82M,2.94%
"Feb 05, 2009",1546.24,1498.59,1554.37,1495.52,930.49M,2.06%
"Feb 04, 2009",1515.05,1517.19,1549.64,1508.87,818.41M,-0.08%
"Feb 03, 2009",1516.3,1499.59,1521.21,1479.42,778.32M,1.46%
"Feb 02, 2009",1494.43,1460.85,1502.72,1460.51,763.51M,1.22%
"Jan 30, 2009",1476.42,1519.46,1523.45,1472.51,811.95M,-2.08%
"Jan 29, 2009",1507.84,1537.47,1537.84,1505.7,734.12M,-3.24%
"Jan 28, 2009",1558.34,1530.48,1568.33,1530.03,793.64M,3.55%
"Jan 27, 2009",1504.9,1494.12,1513.21,1488.81,675.54M,1.04%
"Jan 26, 2009",1489.46,1479.98,1514.38,1470.81,704.64M,0.82%
"Jan 23, 2009",1477.29,1440.78,1495.27,1434.08,814.86M,0.81%
"Jan 22, 2009",1465.49,1470.85,1492.47,1444.08,906.30M,-2.76%
"Jan 21, 2009",1507.07,1466.4,1507.52,1444.9,821.53M,4.60%
"Jan 20, 2009",1440.86,1520.76,1521.85,1440.86,813.22M,-5.78%
"Jan 16, 2009",1529.33,1532.47,1538.82,1490.35,930.84M,1.16%
"Jan 15, 2009",1511.84,1489.46,1521.58,1456.72,917.95M,1.49%
"Jan 14, 2009",1489.64,1521.71,1528.65,1485.26,740.74M,-3.67%
"Jan 13, 2009",1546.46,1537.42,1557.95,1527.47,726.89M,0.50%
"Jan 12, 2009",1538.79,1573.45,1573.46,1528,645.32M,-2.09%
"Jan 09, 2009",1571.59,1617.05,1617.26,1569.87,724.59M,-2.81%
"Jan 08, 2009",1617.01,1590.25,1617.01,1584.28,702.64M,1.12%
"Jan 07, 2009",1599.06,1621.63,1625.37,1588.2,758.20M,-3.23%
"Jan 06, 2009",1652.38,1642.37,1665.63,1636.25,728.25M,1.50%
"Jan 05, 2009",1628.03,1621.48,1640.46,1604.63,632.99M,-0.26%
"Jan 02, 2009",1632.21,1578.87,1636.03,1571.98,502.72M,3.50%
"Dec 31, 2008",1577.03,1550.87,1586.81,1548.88,567.22M,1.70%
"Dec 30, 2008",1550.7,1521.18,1550.7,1517.26,476.55M,2.67%
"Dec 29, 2008",1510.32,1529.54,1530.92,1493.45,422.95M,-1.30%
"Dec 26, 2008",1530.24,1531.2,1532.13,1518.97,209.01M,0.35%
"Dec 24, 2008",1524.9,1525.15,1527.23,1516.15,180.73M,0.22%
"Dec 23, 2008",1521.54,1539.37,1548.44,1512.54,469.01M,-0.71%
"Dec 22, 2008",1532.35,1562.17,1563.79,1503.66,624.10M,-2.04%
"Dec 19, 2008",1564.32,1572.75,1593.35,1557.05,1.29B,0.77%
"Dec 18, 2008",1552.37,1583.17,1591.7,1535.38,784.48M,-1.71%
"Dec 17, 2008",1579.31,1568.88,1598.33,1560.05,800.98M,-0.67%
"Dec 16, 2008",1589.89,1526.06,1589.89,1526,821.43M,5.41%
"Dec 15, 2008",1508.34,1544.16,1544.16,1491.36,617.91M,-2.10%
"Dec 12, 2008",1540.72,1482.55,1543.04,1478.03,708.41M,2.18%
"Dec 11, 2008",1507.88,1548.47,1568.61,1501.7,741.13M,-3.68%
"Dec 10, 2008",1565.48,1563.66,1584.16,1542.08,703.11M,1.17%
"Dec 09, 2008",1547.34,1546.54,1602.92,1538.25,875.96M,-1.55%
"Dec 08, 2008",1571.74,1541.44,1583.81,1536.71,894.18M,4.14%
"Dec 05, 2008",1509.31,1426.93,1510.39,1404.8,877.80M,4.41%
"Dec 04, 2008",1445.56,1465.77,1500.95,1426.41,809.72M,-3.14%
"Dec 03, 2008",1492.38,1416.03,1493.06,1414.04,889.27M,2.94%
"Dec 02, 2008",1449.8,1423.85,1450.83,1399.88,824.03M,3.70%
"Dec 01, 2008",1398.07,1496.09,1496.24,1398.07,790.95M,-8.95%
"Nov 28, 2008",1535.57,1517.95,1535.57,1512.41,305.43M,0.23%
"Nov 26, 2008",1532.1,1441.21,1532.1,1441.21,723.98M,4.60%
"Nov 25, 2008",1464.73,1486.22,1486.22,1430.4,962.52M,-0.50%
"Nov 24, 2008",1472.02,1410.14,1480.41,1397.19,1.01B,6.33%
"Nov 21, 2008",1384.35,1346.77,1384.35,1295.48,1.26B,5.18%
"Nov 20, 2008",1316.12,1373.77,1414.43,1314.9,1.21B,-5.07%
"Nov 19, 2008",1386.42,1479.13,1493.05,1386.42,927.04M,-6.53%
"Nov 18, 2008",1483.27,1488.93,1498.42,1429.92,912.47M,0.08%
"Nov 17, 2008",1482.05,1494.74,1526.96,1481.7,716.91M,-2.29%
"Nov 14, 2008",1516.85,1560.59,1587.76,1513.09,842.89M,-5.00%
"Nov 13, 2008",1596.7,1503.06,1596.7,1428.54,1.18B,6.50%
"Nov 12, 2008",1499.21,1555.17,1562.78,1499.21,840.45M,-5.17%
"Nov 11, 2008",1580.9,1598.59,1612.42,1563.95,639.42M,-2.22%
"Nov 10, 2008",1616.74,1680.67,1680.67,1603.33,638.76M,-1.86%
"Nov 07, 2008",1647.4,1629.69,1654.25,1615.51,717.10M,2.41%
"Nov 06, 2008",1608.7,1659.57,1676.92,1603.87,930.69M,-4.34%
"Nov 05, 2008",1681.64,1757.01,1764.43,1679.19,819.29M,-5.53%
"Nov 04, 2008",1780.12,1761.09,1785.84,1739.81,648.21M,3.12%
"Nov 03, 2008",1726.33,1718.89,1738.53,1713.39,675.39M,0.31%
"Oct 31, 2008",1720.95,1684.71,1742.54,1673.32,975.33M,1.32%
"Oct 30, 2008",1698.52,1698.43,1712.56,1658.45,960.70M,2.49%
"Oct 29, 2008",1657.21,1643.98,1705.51,1622.01,1.06B,0.47%
"Oct 28, 2008",1649.47,1552.24,1649.47,1504.13,1.09B,9.53%
"Oct 27, 2008",1505.9,1528.12,1574.54,1503.81,840.50M,-2.97%
"Oct 24, 2008",1552.03,1493.79,1584.27,1493.79,1.04B,-3.23%
"Oct 23, 2008",1603.91,1621.11,1645.5,1533.55,1.19B,-0.73%
